0	Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop
1	Come to the dark side @gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.
0	#BOFH excuse #447: According to #Microsoft, it's by design | #IFollowBack #Instantly
0	#Twitter'sMalfunctioningAgain
1	.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear
1	Save me from #HP's unwanted OS! Help me buy an #iPhone! I have seen the light! #lol http://t.co/8gUP9Acz #backchannel @apple
0	Life was much easier when @apple and @BlackBerry were just fruits!
0	@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
0	I hate tron theme #Google #ICS
0	See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!
1	Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple
1	#Microsoft store here I come to spend my hard earned cash. #vslive
1	Dear #twitter I have missed you. Promise i'll keep in touch more often
1	@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to "Will it blend?" Glad to hear it's still alive.
1	 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  
1	I'm starting to get really concerned, sending hashtags in emails :P #twitter is taking over our lives :D
1	This twitter shit is funny and entertaining ... I haven't did shit all day but my fingers are hurting #twitter
1	In terms of unified communications giants, really surprised to see how underrated #Microsoft is
1	My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.
1	Validated that #Microsoft #iSCSI target in Win Server 8 works fine with #VMware #vSphere5 / ESXi5, no errors - more: http://t.co/6qnLWFt7
0	@apple my iPhone is charging very slowly!!!!!
0	I feel all alone on #twitter. #itstolate
1	FUCK #facebook #twitter is way better #teamfollowback #followme
1	Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...
0	Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk
0	is mulling #google+ but hmmm, just aint shore bout nuther social media profile.
1	But fb still sucks &amp; #twitter beats it anyday!
1	RT @EverettColdwell: @SusanFelicity One really good thing with #twitter is that most people appear to be on the progressive, left, socia ...
0	Is the sound of compliments that sound
more like obituaries #microsoft
1	RT @ahhfuckitsguss: #twitter can be so useful on letting out your feeling when you cant in the real world .
0	http://t.co/5oK4XcOw Microsoft !! i hate you again !! #microsoft
1	Guess I'm addicted to #Twitter! Writing the answers to 15 marks University exam questions in less than 140 characters! :P
0	#Twitter is Fawkin up!!!
0	RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
1	dammit, listening to siri is making me want to upgrade. well played @apple.
0	Did #Google really just highlight a new font #Roboto as part of their #ICS announcement for #Android...?! Seriously.
1	I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
1	Awesome service from the @apple store in pc. Thanks chris!
1	@KylieMessier yeahh you did! It was about time. Caught the #twitter bug and now i'm hooked!
0	Now, really #google how hypocritical is this? http://t.co/6nHuYFeh #analytics
1	Hey @apple, if you send me a free iPhone (any version will do), I will publicly and ceremoniously burn my #BlackBerry.
0	Lecture Notes in Financial Economics pdf ebook:  http://t.co/7gJQvEwN #google
0	+1 RT @tah_med: the background is SO horrible for this stream #Samsung #Google #NexusPrime they should've seen what #Adobe did at #AdobeMAX
0	BOO to no GoogleMusic news, US carrier news, or price points. #google #ICS #android
0	@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. 
Car is sweet SYNC is #EpicFail
0	@Apple Siri is down!
1	Once again getting great customer service from the @apple store at millenia mall.
0	#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-
0	#ICS introduces Facial recognition to unlock phone, however - the demo didn't go as planned.http://engt.co/q2KeC7 #Google Goof up! #Android
1	Nice talk by @renatmin #KenyaOpenDoor #microsoft #community
1	If you didn't know - Free #Microsoft #HTML5 @Webcamps on West Coast MountainView Redmond Portland check them out  http://t.co/L86OWQRE
1	what i love about #GOOGLE it always shows me that am not the only retarded person on this planet when am searching for stupid things :D
0	@apple, your new "Save a Version" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world
0	Not greatly impressed with #Google and #Samsung presentation skills.
1	NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad
1	Are you using #Google+ and #Linkedin yet? These are essential tools to get your company and/or you on the FIRST page of Google. Contact...
1	@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
1	Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)
0	 @mariospr: Stand up for your freedom to install free software. Please sign up! http://t.co/YOOTfKTM #gnu #against #microsoft
1	Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
